GHCN_ID,month,day,hour,MLY-TMIN-AVGNDS-LSTH031,meas_flag_MLY-TMIN-AVGNDS-LSTH031,comp_flag_MLY-TMIN-AVGNDS-LSTH031,years_MLY-TMIN-AVGNDS-LSTH031
GQC00914025,03,99,99,     0.0, ,R,12
GQC00914025,04,99,99,     0.0, ,R,12
GQC00914025,05,99,99,     0.0, ,R,12
GQC00914025,06,99,99,     0.0, ,R,12
GQC00914025,07,99,99,     0.0, ,R,12
GQC00914025,08,99,99,     0.0, ,R,11
GQC00914025,09,99,99,     0.0, ,R,11
GQC00914025,10,99,99,     0.0, ,R,11
GQC00914025,11,99,99,     0.0, ,R,12
GQC00914025,12,99,99,     0.0, ,R,10
JQW00021603,01,99,99,     0.0, ,P,13
JQW00021603,02,99,99,     0.0, ,P,13
JQW00021603,03,99,99,     0.0, ,P,13
JQW00021603,04,99,99,     0.0, ,P,13
JQW00021603,05,99,99,     0.0, ,P,13
JQW00021603,06,99,99,     0.0, ,P,13
JQW00021603,07,99,99,     0.0, ,P,13
JQW00021603,08,99,99,     0.0, ,P,13
JQW00021603,09,99,99,     0.0, ,P,12
JQW00021603,10,99,99,     0.0, ,P,12
JQW00021603,11,99,99,     0.0, ,P,13
JQW00021603,12,99,99,     0.0, ,P,13
PSC00914519,01,99,99,     0.0, ,R,15
PSC00914519,02,99,99,     0.0, ,R,16
PSC00914519,03,99,99,     0.0, ,R,17
PSC00914519,04,99,99,     0.0, ,R,18
PSC00914519,05,99,99,     0.0, ,R,17
PSC00914519,06,99,99,     0.0, ,R,16
PSC00914519,07,99,99,     0.0, ,R,16
PSC00914519,08,99,99,     0.0, ,R,16
PSC00914519,09,99,99,     0.0, ,R,18
PSC00914519,10,99,99,     0.0, ,R,15
PSC00914519,11,99,99,     0.0, ,R,14
PSC00914519,12,99,99,     0.0, ,R,13
PSC00914712,01,99,99,     0.0, ,P,17
PSC00914712,02,99,99,     0.0, ,P,17
PSC00914712,03,99,99,     0.0, ,P,19
PSC00914712,04,99,99,     0.0, ,P,19
PSC00914712,05,99,99,     0.0, ,P,19
PSC00914712,06,99,99,     0.0, ,P,18
PSC00914712,07,99,99,     0.0, ,P,17
PSC00914712,08,99,99,     0.0, ,P,18
PSC00914712,09,99,99,     0.0, ,P,19
PSC00914712,10,99,99,     0.0, ,P,18
PSC00914712,11,99,99,     0.0, ,P,17
PSC00914712,12,99,99,     0.0, ,P,18
