GHCN_ID,month,day,hour,MAM-TAVG-NORMAL,meas_flag_MAM-TAVG-NORMAL,comp_flag_MAM-TAVG-NORMAL,years_MAM-TAVG-NORMAL,MAM-TMIN-NORMAL,meas_flag_MAM-TMIN-NORMAL,comp_flag_MAM-TMIN-NORMAL,years_MAM-TMIN-NORMAL,MAM-TMAX-NORMAL,meas_flag_MAM-TMAX-NORMAL,comp_flag_MAM-TMAX-NORMAL,years_MAM-TMAX-NORMAL,MAM-DUTR-NORMAL,meas_flag_MAM-DUTR-NORMAL,comp_flag_MAM-DUTR-NORMAL,years_MAM-DUTR-NORMAL
USC00314471,99,99,99,    61.3, ,R,13,    48.9, ,R,13,    73.6, ,R,16,    24.6, ,R,13
USC00314496,99,99,99,    49.8, ,S,29,    36.9, ,S,29,    62.6, ,S,30,    25.7, ,S,29
USC00314684,99,99,99,    60.2, ,R,23,    47.5, ,R,23,    72.8, ,S,25,    25.3, ,R,23
USC00314689,99,99,99,    62.9, ,R,20,    51.1, ,R,20,    74.7, ,S,26,    23.6, ,R,20
USC00314764,99,99,99,    57.7, ,E, 8,    44.7, ,E, 8,    70.7, ,E, 8,    26.0, ,E, 8
USC00314788,99,99,99,    54.1, ,R,15,    42.8, ,R,21,    65.4, ,R,15,    22.6, ,R,15
USC00314860,99,99,99,    63.3, ,S,27,    50.8, ,S,27,    75.9, ,S,30,    25.1, ,S,27
USC00314938,99,99,99,    57.1, ,S,27,    45.0, ,S,27,    69.2, ,S,29,    24.2, ,S,27
USC00314962,99,99,99,    60.3, ,R,24,    49.6, ,S,24,    71.1, ,S,28,    21.5, ,R,24
USC00314970,99,99,99,    59.0, ,S,28,    45.7, ,S,28,    72.3, ,S,28,    26.6, ,S,28
USC00314987,99,99,99,    59.8, ,E, 7,    47.0, ,E, 8,    72.5, ,E, 7,    25.5, ,E, 7
USC00314996,99,99,99,    59.6, ,S,28,    47.3, ,S,28,    71.9, ,S,30,    24.7, ,S,28
USC00315116,99,99,99,    61.4, ,S,27,    50.2, ,S,29,    72.6, ,S,27,    22.4, ,S,27
USC00315123,99,99,99,    58.0, ,S,24,    44.6, ,S,24,    71.5, ,S,29,    26.9, ,S,24
USC00315175,99,99,99,    60.7, ,R,12,    48.3, ,R,13,    73.1, ,R,12,    24.8, ,R,12
USC00315177,99,99,99,    61.6, ,R,24,    49.5, ,S,24,    73.6, ,S,25,    24.1, ,R,24
USC00315340,99,99,99,    57.4, ,R,17,    46.0, ,R,18,    68.9, ,R,17,    22.9, ,R,17
USC00315356,99,99,99,    53.5, ,S,30,    39.1, ,S,30,    67.8, ,S,30,    28.7, ,S,30
USC00315743,99,99,99,    56.1, ,R,19,    42.6, ,R,19,    69.6, ,S,26,    26.9, ,R,19
USC00315771,99,99,99,    60.2, ,R,23,    47.6, ,R,23,    72.7, ,S,30,    25.1, ,R,23
USC00315820,99,99,99,    61.9, ,E,13,    49.0, ,E,13,    74.8, ,E,13,    25.8, ,E,13
USC00315830,99,99,99,    61.2, ,R,21,    52.7, ,R,21,    69.7, ,S,25,    16.9, ,R,21
USC00315838,99,99,99,    57.4, ,R,23,    45.1, ,R,23,    69.8, ,S,29,    24.7, ,R,23
USC00315890,99,99,99,    54.4, ,S,24,    41.2, ,S,24,    67.6, ,S,26,    26.4, ,S,24
USC00315923,99,99,99,    41.0, ,S,25,    32.3, ,S,25,    49.7, ,S,30,    17.4, ,S,25
USC00315930,99,99,99,    60.1, ,E, 8,    48.2, ,E, 8,    72.0, ,E, 8,    23.8, ,E, 8
